,0,1,2
210,-28.003098,1.5634514,14.080893
211,12.609444,-18.854898,19.918243
212,-6.695745,-2.5403485,24.509224
213,-5.945834,16.80794,19.513979
214,3.8538048,5.021508,18.645393
215,-31.281681,-1.5716838,-5.071628
216,-7.5121837,-4.9217057,10.813307
217,-11.073098,24.818817,-5.169102
218,-3.4957187,-23.965448,14.252032
219,-2.2720504,12.13889,6.5749273
220,20.386423,-6.2925406,-19.259665
221,-0.92746913,19.925552,9.682495
222,-8.214161,-23.695467,-5.0049024
223,13.775983,15.67896,-0.98691624
224,5.7171674,16.861664,-14.409992
225,0.3293854,-11.297276,1.7234218
226,5.217467,-19.247252,1.3649015
227,-2.4806042,-14.224868,28.169903
228,12.772538,18.913668,-18.056044
229,-8.073931,5.123098,27.766447
230,-5.616813,-2.686041,-14.538327
231,23.820631,8.642518,1.3633864
232,10.064593,-14.051771,15.490149
233,-22.547443,15.862708,14.711472
234,12.2394085,17.257298,-18.913267
235,-9.565794,-3.2400277,-6.7538147
236,14.670263,5.6953206,9.300708
237,4.2811728,-17.971592,-4.0458145
238,-18.225279,11.765228,6.4595723
239,11.825098,6.267805,-18.883266
240,22.578726,-18.995592,13.670106
241,18.461521,9.741149,2.3329618
242,9.050006,3.6748526,6.9348683
243,-0.2891587,-4.2121058,-5.0361247
244,-14.507832,0.6076116,7.749849
245,16.00602,-10.896961,-1.4332172
246,-1.7916788,6.1535234,-4.8270664
247,21.381054,4.8548694,-4.0089784
248,6.4121947,-12.787336,-17.037666
249,-25.888287,5.470342,3.762839
250,-5.2681203,-0.039347894,-22.314877
251,2.5621152,21.589247,-2.612703
252,-3.5340734,-15.1491785,-15.964849
253,-1.5222478,16.010729,-9.613821
254,-8.45697,-11.924004,5.462772
255,24.6923,-8.369005,-10.48593
256,17.219578,-0.6998832,-10.695227
257,-17.075207,10.496945,19.8078
258,-0.13257106,-11.108678,-0.47055483
259,24.071667,8.740224,2.086105
260,23.312475,8.681437,2.4593933
261,-7.6408954,-5.9361324,17.068047
262,5.4819317,26.918507,-5.867365
263,21.843601,-10.982202,-5.259967
264,2.1246057,-10.426527,-4.11598
265,2.0768461,-16.332987,10.60565
266,14.19526,10.475449,15.281391
267,20.090658,-20.525673,-12.611785
268,-7.592493,-21.101406,-21.453527
269,5.5096116,-3.465838,-29.74343
270,-16.928701,-7.224516,-18.639336
271,1.5810448,12.667627,-5.9646373
272,-9.847328,7.2029457,24.613955
273,6.2155366,-14.755359,-7.3866124
274,-7.5685015,5.572784,-0.94898504
275,-4.471893,-14.105413,20.399979
276,-6.230936,-1.0037024,-19.86954
277,-24.915613,1.3496045,8.704796
278,5.557396,-8.0221,3.899087
279,15.934017,-11.298517,-9.888325
280,13.065564,-12.075095,-24.704916
281,-20.139246,17.811016,1.2498933
282,0.054862473,27.355333,10.060324
283,20.190027,-8.812489,-0.36025766
284,5.509626,-3.4658477,-29.743385
285,11.169585,11.598427,14.790541
286,11.839528,-8.67581,-12.44735
287,11.413913,-3.1593366,3.454665
288,5.509634,-3.465862,-29.743391
289,9.936029,4.078745,-15.879879
290,-16.928701,-7.224516,-18.639336
291,0.684078,-23.05584,1.679777
